 Partido dos Trabalhadores (PT) ,10126611,10.3,56
 Partido Social Liberal (PSL) ,11457878,11.7,52
 Partido Progressista (PP) ,5480067,5.6,37
 Partido Social Democrático (PSD) ,5749008,5.8,34
 Movimento Democrático Brasileiro (MDB) ,5439167,5.5,34
 Partido da República (PR) ,5224591,5.3,33
 Partido Socialista Brasileiro (PSB) ,5386400,5.5,32
 Partido Republicano Brasileiro (PRB) ,4992016,5.1,30
 Partido da Social Democracia Brasileira (PSDB) ,5905541,6,29
 Democratas (DEM) ,4581162,4.7,29
 Partido Democrático Trabalhista (PDT) ,4545846,4.6,28
 Solidariedade (SOLIDARIEDADE) ,1953067,2,13
 Podemos (PODE) ,2243320,2.3,11
 Partido Socialismo e Liberdade (PSOL) ,2783669,2.8,10
 Partido Trabalhista Brasileiro (PTB) ,2022719,2.1,10
 Partido Comunista do Brasil (PC do B) ,1329575,1.4,9
 Partido Novo (NOVO) ,2748079,2.8,8
 Partido Republicano da Ordem Social (PROS) ,2042610,2.1,8
 Partido Social Cristão (PSC) ,1765226,1.8,8
 Partido Popular Socialista (PPS) ,1590084,1.6,8
 Avante (AVANTE) ,1844048,1.9,7
 Partido Humanista da Solidariedade (PHS) ,1426444,1.5,6
 Patriota (PATRI) ,1432304,1.5,5
 Partido Verde (PV) ,1592173,1.6,4
 Partido Republicano Progressista (PRP) ,851368,0.9,4
 Partido da Mobilização Nacional (PMN) ,634129,0.6,3
 Partido Trabalhista Cristão (PTC) ,601814,0.6,2
 Rede Sustentabilidade (REDE) ,816784,0.8,1
 Partido Pátria Livre (PPL) ,385197,0.4,1
 Democracia Cristã (DC) ,369386,0.4,1
 Partido Renovador Trabalhista Brasileiro (PRTB) ,684976,0.7,0
 Partido da Mulher Brasileira (PMB) ,228302,0.2,0
 Partido Comunista Brasileiro (PCB) ,61343,0.1,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,41304,0,0
 Partido da Causa Operária (PCO) ,2785,0,0
