Acre,,,
8,,,
 Partido dos Trabalhadores (PT) ,97639,24.5,3
 Partido do Movimento Democrático Brasileiro (PMDB) ,39751,10,2
 Partido da Social Democracia Brasileira (PSDB) ,36868,9.2,1
 Partido Socialista Brasileiro (PSB) ,27939,7,1
 Partido Republicano Brasileiro (PRB) ,18505,4.6,1
 Partido Progressista (PP) ,31228,7.8,0
 Democratas (DEM) ,23727,5.9,0
 Partido Social Democrático (PSD) ,19289,4.8,0
 Partido Comunista do Brasil (PC do B) ,18109,4.5,0
 Partido da República (PR) ,13953,3.5,0
 Partido Democrático Trabalhista (PDT) ,13026,3.3,0
 Partido Social Cristão (PSC) ,12321,3.1,0
 Partido Republicano Progressista (PRP) ,11963,3,0
 Partido Humanista da Solidariedade (PHS) ,6160,1.5,0
 Solidariedade (SD) ,5016,1.3,0
 Partido Verde (PV) ,4358,1.1,0
 Partido Trabalhista Brasileiro (PTB) ,4257,1.1,0
 Partido Popular Socialista (PPS) ,3725,0.9,0
 Partido Social Democrata Cristão (PSDC) ,3632,0.9,0
 Partido Republicano da Ordem Social (PROS) ,2134,0.5,0
 Partido Trabalhista do Brasil (PT do B) ,1555,0.4,0
 Partido da Mobilização Nacional (PMN) ,1346,0.3,0
 Partido Trabalhista Nacional (PTN) ,848,0.2,0
 Partido Pátria Livre (PPL) ,693,0.2,0
 Partido Socialismo e Liberdade (PSOL) ,637,0.2,0
 Partido Ecológico Nacional (PEN) ,310,0.1,0
 Partido Social Liberal (PSL) ,118,0,0
 Partido Trabalhista Cristão (PTC) ,94,0,0
