Amazonas,,,
8,,,
 Partido Social Democrático (PSD) ,329925,19.9,2
 Partido da Social Democracia Brasileira (PSDB) ,258835,15.6,1
 Partido do Movimento Democrático Brasileiro (PMDB) ,208803,12.6,1
 Partido da República (PR) ,123448,7.4,1
 Partido Popular Socialista (PPS) ,115373,7,1
 Democratas (DEM) ,107209,6.5,1
 Partido Progressista (PP) ,75554,4.6,1
 Partido dos Trabalhadores (PT) ,78725,4.7,0
 Partido Trabalhista Brasileiro (PTB) ,72047,4.3,0
 Partido Socialista Brasileiro (PSB) ,62455,3.8,0
 Partido Comunista do Brasil (PC do B) ,61162,3.7,0
 Partido Republicano Brasileiro (PRB) ,49644,3,0
 Partido Trabalhista Nacional (PTN) ,23579,1.4,0
 Partido Humanista da Solidariedade (PHS) ,19680,1.2,0
 Partido Republicano Progressista (PRP) ,13777,0.8,0
 Partido Trabalhista Cristão (PTC) ,12026,0.7,0
 Partido Republicano da Ordem Social (PROS) ,11656,0.7,0
 Partido Democrático Trabalhista (PDT) ,9622,0.6,0
 Partido Socialismo e Liberdade (PSOL) ,5560,0.3,0
 Partido da Mobilização Nacional (PMN) ,3835,0.2,0
 Partido Social Liberal (PSL) ,3402,0.2,0
 Partido Verde (PV) ,2793,0.2,0
 Partido Social Cristão (PSC) ,2759,0.2,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,1656,0.1,0
 Partido Comunista Brasileiro (PCB) ,1258,0.1,0
 Partido Social Democrata Cristão (PSDC) ,1006,0.1,0
 Solidariedade (SD) ,938,0.1,0
 Partido Pátria Livre (PPL) ,656,0,0
 Partido Ecológico Nacional (PEN) ,644,0,0
 Partido Trabalhista do Brasil (PT do B) ,289,0,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,91,0,0
