Distrito Federal,,,
8,,,
 Partido dos Trabalhadores (PT) ,206728,14.2,1
 Partido da Social Democracia Brasileira (PSDB) ,166039,11.4,1
 Democratas (DEM) ,156655,10.8,1
 Partido do Movimento Democrático Brasileiro (PMDB) ,115873,8,1
 Partido Social Democrático (PSD) ,94804,6.5,1
 Partido Republicano da Ordem Social (PROS) ,85017,5.8,1
 Partido da República (PR) ,47118,3.2,1
 Solidariedade (SD) ,39988,2.8,1
 Partido Socialista Brasileiro (PSB) ,92628,6.4,0
 Partido Ecológico Nacional (PEN) ,79811,5.5,0
 Partido Republicano Brasileiro (PRB) ,75621,5.2,0
 Partido Popular Socialista (PPS) ,61196,4.2,0
 Partido Democrático Trabalhista (PDT) ,50104,3.4,0
 Partido da Mobilização Nacional (PMN) ,30281,2.1,0
 Partido Trabalhista Brasileiro (PTB) ,24852,1.7,0
 Partido Pátria Livre (PPL) ,21047,1.4,0
 Partido Socialismo e Liberdade (PSOL) ,19853,1.4,0
 Partido Verde (PV) ,17204,1.2,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,13670,0.9,0
 Partido Progressista (PP) ,13511,0.9,0
 Partido Humanista da Solidariedade (PHS) ,7375,0.5,0
 Partido Comunista do Brasil (PC do B) ,6995,0.5,0
 Partido Republicano Progressista (PRP) ,6847,0.5,0
 Partido Trabalhista Cristão (PTC) ,4888,0.3,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,4735,0.3,0
 Partido Social Democrata Cristão (PSDC) ,4052,0.3,0
 Partido Social Cristão (PSC) ,3183,0.2,0
 Partido Social Liberal (PSL) ,1043,0.1,0
 Partido da Causa Operária (PCO) ,918,0.1,0
 Partido Trabalhista Nacional (PTN) ,803,0.1,0
 Partido Comunista Brasileiro (PCB) ,656,0,0
 Partido Trabalhista do Brasil (PT do B) ,568,0,0
