Mato Grosso,,,
8,,,
 Partido Socialista Brasileiro (PSB) ,261302,18,2
 Partido da Social Democracia Brasileira (PSDB) ,171389,11.8,1
 Partido dos Trabalhadores (PT) ,136113,9.4,1
 Partido do Movimento Democrático Brasileiro (PMDB) ,126218,8.7,1
 Partido Republicano da Ordem Social (PROS) ,109722,7.5,1
 Partido Progressista (PP) ,94179,6.5,1
 Partido Social Cristão (PSC) ,66426,4.6,1
 Partido Social Democrático (PSD) ,153992,10.6,0
 Partido da República (PR) ,90859,6.2,0
 Partido Democrático Trabalhista (PDT) ,88693,6.1,0
 Partido Socialismo e Liberdade (PSOL) ,88500,6.1,0
 Partido Republicano Brasileiro (PRB) ,15527,1.1,0
 Solidariedade (SD) ,11518,0.8,0
 Partido Ecológico Nacional (PEN) ,6913,0.5,0
 Partido da Mobilização Nacional (PMN) ,6269,0.4,0
 Partido Trabalhista Brasileiro (PTB) ,5296,0.4,0
 Partido Trabalhista Cristão (PTC) ,5013,0.3,0
 Partido Humanista da Solidariedade (PHS) ,4078,0.3,0
 Partido Comunista do Brasil (PC do B) ,3508,0.2,0
 Partido Trabalhista do Brasil (PT do B) ,3229,0.2,0
 Democratas (DEM) ,3071,0.2,0
 Partido Social Liberal (PSL) ,1018,0.1,0
 Partido Popular Socialista (PPS) ,947,0.1,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,619,0,0
 Partido Trabalhista Nacional (PTN) ,213,0,0
 Partido Republicano Progressista (PRP) ,0,0,0
 Partido Social Democrata Cristão (PSDC) ,0,0,0
 Partido Verde (PV) ,0,0,0
