Mato Grosso do Sul,,,
8,,,
 Partido do Movimento Democrático Brasileiro (PMDB) ,355077,27.8,2
 Partido dos Trabalhadores (PT) ,319786,25,2
 Partido da Social Democracia Brasileira (PSDB) ,104356,8.2,1
 Partido Socialista Brasileiro (PSB) ,83313,6.5,1
 Democratas (DEM) ,68500,5.4,1
 Partido Democrático Trabalhista (PDT) ,65677,5.1,1
 Partido Social Democrático (PSD) ,42153,3.3,0
 Solidariedade (SD) ,39525,3.1,0
 Partido da República (PR) ,37589,2.9,0
 Partido Republicano Brasileiro (PRB) ,36364,2.8,0
 Partido Progressista (PP) ,22981,1.8,0
 Partido Republicano da Ordem Social (PROS) ,16671,1.3,0
 Partido Social Cristão (PSC) ,12494,1,0
 Partido Republicano Progressista (PRP) ,9965,0.8,0
 Partido Humanista da Solidariedade (PHS) ,8446,0.7,0
 Partido Trabalhista Cristão (PTC) ,7583,0.6,0
 Partido Popular Socialista (PPS) ,7293,0.6,0
 Partido Trabalhista Nacional (PTN) ,6157,0.5,0
 Partido Socialismo e Liberdade (PSOL) ,5844,0.5,0
 Partido Social Liberal (PSL) ,5179,0.4,0
 Partido Trabalhista do Brasil (PT do B) ,3978,0.3,0
 Partido Verde (PV) ,3346,0.3,0
 Partido da Mobilização Nacional (PMN) ,3093,0.2,0
 Partido Trabalhista Brasileiro (PTB) ,3050,0.2,0
 Partido Comunista do Brasil (PC do B) ,2376,0.2,0
 Partido Social Democrata Cristão (PSDC) ,1782,0.1,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,1727,0.1,0
 Partido Ecológico Nacional (PEN) ,944,0.1,0
 Partido Pátria Livre (PPL) ,848,0.1,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,796,0.1,0
