Pará,,,
17,,,
 Partido do Movimento Democrático Brasileiro (PMDB) ,466727,12.4,3
 Partido Social Democrático (PSD) ,419372,11.2,3
 Partido dos Trabalhadores (PT) ,589532,15.7,2
 Partido da Social Democracia Brasileira (PSDB) ,480456,12.8,1
 Solidariedade (SD) ,238678,6.4,1
 Democratas (DEM) ,235185,6.3,1
 Partido Socialismo e Liberdade (PSOL) ,222900,5.9,1
 Partido da República (PR) ,153596,4.1,1
 Partido Trabalhista Brasileiro (PTB) ,132205,3.5,1
 Partido Republicano da Ordem Social (PROS) ,113028,3,1
 Partido Social Cristão (PSC) ,106752,2.8,1
 Partido Popular Socialista (PPS) ,88357,2.4,1
 Partido Democrático Trabalhista (PDT) ,126457,3.4,0
 Partido Republicano Brasileiro (PRB) ,108646,2.9,0
 Partido Socialista Brasileiro (PSB) ,87585,2.3,0
 Partido Progressista (PP) ,83346,2.2,0
 Partido Comunista do Brasil (PC do B) ,20949,0.6,0
 Partido Trabalhista do Brasil (PT do B) ,14940,0.4,0
 Partido Social Liberal (PSL) ,9249,0.2,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,8867,0.2,0
 Partido Verde (PV) ,8749,0.2,0
 Partido da Mobilização Nacional (PMN) ,8233,0.2,0
 Partido Ecológico Nacional (PEN) ,8113,0.2,0
 Partido Republicano Progressista (PRP) ,7538,0.2,0
 Partido Humanista da Solidariedade (PHS) ,5491,0.1,0
 Partido Pátria Livre (PPL) ,4849,0.1,0
 Partido Trabalhista Cristão (PTC) ,3387,0.1,0
 Partido Trabalhista Nacional (PTN) ,1427,0,0
 Partido Comunista Brasileiro (PCB) ,1031,0,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,404,0,0
