Pernambuco,,,
25,,,
 Partido Socialista Brasileiro (PSB) ,1238051,27.6,8
 Partido Trabalhista Brasileiro (PTB) ,465366,10.4,4
 Partido da Social Democracia Brasileira (PSDB) ,413047,9.2,3
 Partido da República (PR) ,281583,6.3,2
 Partido Progressista (PP) ,383674,8.6,1
 Partido do Movimento Democrático Brasileiro (PMDB) ,236048,5.3,1
 Partido Democrático Trabalhista (PDT) ,138156,3.1,1
 Partido Comunista do Brasil (PC do B) ,129290,2.9,1
 Partido Social Cristão (PSC) ,107856,2.4,1
 Partido Social Democrático (PSD) ,104370,2.3,1
 Democratas (DEM) ,92547,2.1,1
 Partido Humanista da Solidariedade (PHS) ,80710,1.8,1
 Partido dos Trabalhadores (PT) ,384699,8.6,0
 Partido Social Liberal (PSL) ,97144,2.2,0
 Partido Republicano Brasileiro (PRB) ,75133,1.7,0
 Solidariedade (SD) ,70867,1.6,0
 Partido Popular Socialista (PPS) ,40376,0.9,0
 Partido Republicano Progressista (PRP) ,24617,0.5,0
 Partido Verde (PV) ,23681,0.5,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,18614,0.4,0
 Partido Socialismo e Liberdade (PSOL) ,17987,0.4,0
 Partido Social Democrata Cristão (PSDC) ,10189,0.2,0
 Partido Pátria Livre (PPL) ,8175,0.2,0
 Partido da Mobilização Nacional (PMN) ,8064,0.2,0
 Partido Republicano da Ordem Social (PROS) ,7553,0.2,0
 Partido Comunista Brasileiro (PCB) ,7321,0.2,0
 Partido Trabalhista Nacional (PTN) ,6556,0.1,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,5436,0.1,0
 Partido Trabalhista do Brasil (PT do B) ,3930,0.1,0
 Partido Trabalhista Cristão (PTC) ,1445,0,0
 Partido Ecológico Nacional (PEN) ,742,0,0
