Piauí,,,
10,,,
 Partido Socialista Brasileiro (PSB) ,338209,19.5,3
 Partido dos Trabalhadores (PT) ,321864,18.6,2
 Partido Trabalhista Brasileiro (PTB) ,208861,12,2
 Partido do Movimento Democrático Brasileiro (PMDB) ,199085,11.5,1
 Partido Social Democrático (PSD) ,164819,9.5,1
 Partido Progressista (PP) ,127721,7.4,1
 Partido Democrático Trabalhista (PDT) ,99633,5.7,0
 Partido da República (PR) ,76776,4.4,0
 Partido Comunista do Brasil (PC do B) ,72131,4.2,0
 Solidariedade (SD) ,31275,1.8,0
 Partido Republicano Brasileiro (PRB) ,25906,1.5,0
 Partido da Social Democracia Brasileira (PSDB) ,12623,0.7,0
 Partido Humanista da Solidariedade (PHS) ,10243,0.6,0
 Partido Verde (PV) ,6149,0.4,0
 Partido Republicano Progressista (PRP) ,5465,0.3,0
 Partido Socialismo e Liberdade (PSOL) ,4431,0.3,0
 Partido Popular Socialista (PPS) ,4370,0.3,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,3492,0.2,0
 Partido Trabalhista Cristão (PTC) ,3157,0.2,0
 Partido Pátria Livre (PPL) ,2812,0.2,0
 Partido Republicano da Ordem Social (PROS) ,2663,0.2,0
 Partido Ecológico Nacional (PEN) ,2088,0.1,0
 Partido Social Cristão (PSC) ,1985,0.1,0
 Democratas (DEM) ,1898,0.1,0
 Partido Trabalhista do Brasil (PT do B) ,1504,0.1,0
 Partido da Mobilização Nacional (PMN) ,1237,0.1,0
 Partido Comunista Brasileiro (PCB) ,1066,0.1,0
 Partido Social Democrata Cristão (PSDC) ,895,0.1,0
 Partido Trabalhista Nacional (PTN) ,577,0,0
 Partido Social Liberal (PSL) ,499,0,0
