Rio Grande do Norte,,,
8,,,
 Partido do Movimento Democrático Brasileiro (PMDB) ,240150,15.2,1
 Partido Social Democrático (PSD) ,190891,12.1,1
 Partido Republicano da Ordem Social (PROS) ,186728,11.8,1
 Partido da República (PR) ,137263,8.7,1
 Democratas (DEM) ,120540,7.6,1
 Partido da Social Democracia Brasileira (PSDB) ,90653,5.7,1
 Partido Progressista (PP) ,76144,4.8,1
 Partido da Mobilização Nacional (PMN) ,73531,4.7,1
 Partido dos Trabalhadores (PT) ,136613,8.6,0
 Partido Socialista Brasileiro (PSB) ,68724,4.3,0
 Partido Republicano Brasileiro (PRB) ,65708,4.2,0
 Partido Democrático Trabalhista (PDT) ,51497,3.3,0
 Partido Humanista da Solidariedade (PHS) ,25781,1.6,0
 Solidariedade (SD) ,23164,1.5,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,12551,0.8,0
 Partido Socialismo e Liberdade (PSOL) ,12321,0.8,0
 Partido Social Democrata Cristão (PSDC) ,11906,0.8,0
 Partido Comunista do Brasil (PC do B) ,9118,0.6,0
 Partido Ecológico Nacional (PEN) ,9081,0.6,0
 Partido Social Liberal (PSL) ,7619,0.5,0
 Partido Verde (PV) ,6700,0.4,0
 Partido Social Cristão (PSC) ,5504,0.3,0
 Partido Trabalhista Cristão (PTC) ,4527,0.3,0
 Partido Popular Socialista (PPS) ,3579,0.2,0
 Partido Trabalhista Brasileiro (PTB) ,3326,0.2,0
 Partido Republicano Progressista (PRP) ,3228,0.2,0
 Partido Trabalhista Nacional (PTN) ,1940,0.1,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,1340,0.1,0
 Partido Trabalhista do Brasil (PT do B) ,744,0,0
