Rio Grande do Sul,,,
31,,,
 Partido dos Trabalhadores (PT) ,1385264,23.3,7
 Partido Progressista (PP) ,953534,16,6
 Partido do Movimento Democrático Brasileiro (PMDB) ,981415,16.5,5
 Partido Democrático Trabalhista (PDT) ,507269,8.5,3
 Partido Trabalhista Brasileiro (PTB) ,434855,7.3,3
 Partido Socialista Brasileiro (PSB) ,399303,6.7,2
 Partido da Social Democracia Brasileira (PSDB) ,305961,5.1,1
 Partido Social Democrático (PSD) ,198237,3.3,1
 Partido Comunista do Brasil (PC do B) ,193099,3.2,1
 Democratas (DEM) ,154082,2.6,1
 Partido Republicano Brasileiro (PRB) ,101543,1.7,1
 Partido Socialismo e Liberdade (PSOL) ,72383,1.2,0
 Partido da República (PR) ,58324,1,0
 Solidariedade (SD) ,48467,0.8,0
 Partido Social Cristão (PSC) ,31659,0.5,0
 Partido Popular Socialista (PPS) ,21341,0.4,0
 Partido Verde (PV) ,18959,0.3,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,15671,0.3,0
 Partido Republicano da Ordem Social (PROS) ,12034,0.2,0
 Partido Social Liberal (PSL) ,11633,0.2,0
 Partido Ecológico Nacional (PEN) ,7716,0.1,0
 Partido Pátria Livre (PPL) ,5257,0.1,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,4249,0.1,0
 Partido Trabalhista do Brasil (PT do B) ,4215,0.1,0
 Partido Republicano Progressista (PRP) ,3764,0.1,0
 Partido da Mobilização Nacional (PMN) ,3507,0.1,0
 Partido Humanista da Solidariedade (PHS) ,3042,0.1,0
 Partido Comunista Brasileiro (PCB) ,2445,0,0
 Partido Trabalhista Cristão (PTC) ,2341,0,0
 Partido Social Democrata Cristão (PSDC) ,494,0,0
