Roraima,,,
8,,,
 Partido da Social Democracia Brasileira (PSDB) ,39097,16.4,1
 Partido Republicano Brasileiro (PRB) ,28119,11.8,1
 Partido da República (PR) ,20684,8.7,1
 Partido Democrático Trabalhista (PDT) ,18733,7.9,1
 Partido do Movimento Democrático Brasileiro (PMDB) ,16096,6.8,1
 Partido da Mobilização Nacional (PMN) ,11978,5,1
 Partido Socialista Brasileiro (PSB) ,8137,3.4,1
 Partido Humanista da Solidariedade (PHS) ,6868,2.9,1
 Partido Progressista (PP) ,18691,7.9,0
 Partido Social Cristão (PSC) ,13784,5.8,0
 Partido dos Trabalhadores (PT) ,10668,4.5,0
 Partido Republicano da Ordem Social (PROS) ,10473,4.4,0
 Partido Ecológico Nacional (PEN) ,6688,2.8,0
 Partido Social Democrático (PSD) ,5239,2.2,0
 Partido Verde (PV) ,4918,2.1,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,4508,1.9,0
 Partido Social Democrata Cristão (PSDC) ,4163,1.7,0
 Partido Trabalhista do Brasil (PT do B) ,1917,0.8,0
 Partido Pátria Livre (PPL) ,1140,0.5,0
 Partido Comunista do Brasil (PC do B) ,1084,0.5,0
 Partido Trabalhista Brasileiro (PTB) ,1076,0.5,0
 Partido Republicano Progressista (PRP) ,1009,0.4,0
 Partido Popular Socialista (PPS) ,793,0.3,0
 Democratas (DEM) ,596,0.3,0
 Partido Trabalhista Cristão (PTC) ,590,0.2,0
 Partido Socialismo e Liberdade (PSOL) ,498,0.2,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,152,0.1,0
 Solidariedade (SD) ,149,0.1,0
 Partido Social Liberal (PSL) ,148,0.1,0
 Partido Trabalhista Nacional (PTN) ,103,0,0
