Amapá,,,
8,,,
 Avante (AVANTE) ,17946,4.9,1
 Democracia Cristã (DC) ,2906,0.8,0
 Democratas (DEM) ,17523,4.8,0
 Movimento Democrático Brasileiro (MDB) ,10000,2.7,0
 Partido Comunista do Brasil (PC do B) ,14510,4,1
 Partido da Mobilização Nacional (PMN) ,1566,0.4,0
 Partido da Social Democracia Brasileira (PSDB) ,15124,4.1,1
 Partido Democrático Trabalhista (PDT) ,33089,9.1,0
 Partido Humanista da Solidariedade (PHS) ,8805,2.4,0
 Partido Pátria Livre (PPL) ,4709,1.3,0
 Partido Progressista (PP) ,13800,3.8,1
 Partido Republicano Brasileiro (PRB) ,16938,4.6,1
 Partido Republicano da Ordem Social (PROS) ,20340,5.6,1
 Partido Republicano Progressista (PRP) ,9683,2.7,0
 Partido Social Cristão (PSC) ,9862,2.7,0
 Partido Social Democrático (PSD) ,11042,3,0
 Partido Social Liberal (PSL) ,5699,1.6,0
 Partido Socialismo e Liberdade (PSOL) ,11410,3.1,0
 Partido Socialista Brasileiro (PSB) ,32353,8.9,1
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,755,0.2,0
 Partido Trabalhista Brasileiro (PTB) ,17270,4.7,0
 Partido Trabalhista Cristão (PTC) ,10423,2.9,0
 Partido Verde (PV) ,2084,0.6,0
 Podemos (PODE) ,3830,1,0
 Rede Sustentabilidade (REDE) ,20244,5.5,0
 Solidariedade (SOLIDARIEDADE) ,6610,1.8,0
 Partido da República (PR) ,46350,12.7,1
