Ceará,,,
22,,,
 Avante (AVANTE) ,56487,1.2,0
 Democracia Cristã (DC) ,19978,0.4,0
 Democratas (DEM) ,83740,1.8,0
 Movimento Democrático Brasileiro (MDB) ,148624,3.2,1
 Partido Comunista do Brasil (PC do B) ,87714,1.9,0
 Partido da Mobilização Nacional (PMN) ,7157,0.2,0
 Partido da República (PR) ,138281,3,1
 Partido da Social Democracia Brasileira (PSDB) ,244788,5.3,1
 Partido Democrático Trabalhista (PDT) ,1015230,22.1,6
 Partido dos Trabalhadores (PT) ,522986,11.4,3
 Partido Humanista da Solidariedade (PHS) ,9284,0.2,0
 Partido Novo (NOVO) ,36326,0.8,0
 Partido Pátria Livre (PPL) ,33322,0.7,0
 Partido Popular Socialista (PPS) ,47646,1,0
 Partido Progressista (PP) ,198439,4.3,1
 Partido Renovador Trabalhista Brasileiro (PRTB) ,63845,1.4,0
 Partido Republicano Brasileiro (PRB) ,107881,2.3,0
 Partido Republicano da Ordem Social (PROS) ,448211,9.8,2
 Partido Republicano Progressista (PRP) ,2836,0.1,0
 Partido Social Cristão (PSC) ,19219,0.4,0
 Partido Social Democrático (PSD) ,151060,3.3,1
 Partido Social Liberal (PSL) ,168454,3.7,1
 Partido Socialismo e Liberdade (PSOL) ,66079,1.4,0
 Partido Socialista Brasileiro (PSB) ,188846,4.1,1
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,1240,0,0
 Partido Trabalhista Brasileiro (PTB) ,125663,2.7,1
 Partido Verde (PV) ,211661,4.6,1
 Patriota (PATRI) ,151651,3.3,1
 Podemos (PODE) ,68355,1.5,0
 Rede Sustentabilidade (REDE) ,24761,0.5,0
 Solidariedade (SOLIDARIEDADE) ,144756,3.2,1
