Maranhão,,,
18,,,
 Avante (AVANTE) ,57105,1.7,0
 Democracia Cristã (DC) ,3977,0.1,0
 Democratas (DEM) ,119383,3.7,1
 Movimento Democrático Brasileiro (MDB) ,227234,6.9,2
 Partido Comunista Brasileiro (PCB) ,3674,0.1,0
 Partido Comunista do Brasil (PC do B) ,267743,8.2,2
 Partido da Mobilização Nacional (PMN) ,273827,8.4,2
 Partido da Mulher Brasileira (PMB) ,9506,0.3,0
 Partido da República (PR) ,350575,10.7,2
 Partido da Social Democracia Brasileira (PSDB) ,78736,2.4,0
 Partido Democrático Trabalhista (PDT) ,211740,6.5,1
 Partido dos Trabalhadores (PT) ,170904,5.2,1
 Partido Humanista da Solidariedade (PHS) ,84703,2.6,0
 Partido Pátria Livre (PPL) ,5255,0.2,0
 Partido Popular Socialista (PPS) ,5773,0.2,0
 Partido Progressista (PP) ,212980,6.5,1
 Partido Renovador Trabalhista Brasileiro (PRTB) ,33223,1,0
 Partido Republicano Brasileiro (PRB) ,112278,3.4,1
 Partido Republicano da Ordem Social (PROS) ,72101,2.2,0
 Partido Republicano Progressista (PRP) ,3132,0.1,0
 Partido Social Cristão (PSC) ,39297,1.2,0
 Partido Social Democrático (PSD) ,126735,3.9,1
 Partido Social Liberal (PSL) ,117901,3.6,0
 Partido Socialismo e Liberdade (PSOL) ,10333,0.3,0
 Partido Socialista Brasileiro (PSB) ,114258,3.5,1
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,5138,0.2,0
 Partido Trabalhista Brasileiro (PTB) ,123806,3.8,1
 Partido Trabalhista Cristão (PTC) ,13849,0.4,0
 Partido Verde (PV) ,109570,3.4,0
 Patriota (PATRI) ,91191,2.8,1
 Podemos (PODE) ,117054,3.6,1
 Rede Sustentabilidade (REDE) ,11152,0.3,0
 Solidariedade (SOLIDARIEDADE) ,86457,2.6,0
