Minas Gerais,,,
53,,,
 Avante (AVANTE) ,616562,6.1,3
 Democracia Cristã (DC) ,55761,0.6,0
 Democratas (DEM) ,285912,2.8,1
 Movimento Democrático Brasileiro (MDB) ,610205,6.1,4
 Partido Comunista Brasileiro (PCB) ,12247,0.1,0
 Partido Comunista do Brasil (PC do B) ,71706,0.7,0
 Partido da Mobilização Nacional (PMN) ,54068,0.5,1
 Partido da Mulher Brasileira (PMB) ,26643,0.3,0
 Partido da República (PR) ,355184,3.5,1
 Partido da Social Democracia Brasileira (PSDB) ,769033,7.6,5
 Partido Democrático Trabalhista (PDT) ,298899,3,2
 Partido dos Trabalhadores (PT) ,1343933,13.3,8
 Partido Humanista da Solidariedade (PHS) ,394033,3.9,2
 Partido Novo (NOVO) ,461859,4.6,2
 Partido Pátria Livre (PPL) ,17176,0.2,0
 Partido Popular Socialista (PPS) ,108242,1.1,0
 Partido Progressista (PP) ,372000,3.7,2
 Partido Renovador Trabalhista Brasileiro (PRTB) ,115623,1.1,0
 Partido Republicano Brasileiro (PRB) ,354433,3.5,2
 Partido Republicano da Ordem Social (PROS) ,377657,3.7,2
 Partido Republicano Progressista (PRP) ,23003,0.2,0
 Partido Social Cristão (PSC) ,202230,2,1
 Partido Social Democrático (PSD) ,457320,4.5,3
 Partido Social Liberal (PSL) ,1100263,10.9,6
 Partido Socialismo e Liberdade (PSOL) ,241908,2.4,1
 Partido Socialista Brasileiro (PSB) ,335216,3.3,3
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,5782,0.1,0
 Partido Trabalhista Brasileiro (PTB) ,148428,1.5,0
 Partido Trabalhista Cristão (PTC) ,52458,0.5,0
 Partido Verde (PV) ,126374,1.3,0
 Patriota (PATRI) ,277469,2.8,2
 Podemos (PODE) ,233631,2.3,1
 Rede Sustentabilidade (REDE) ,41782,0.4,0
 Solidariedade (SOLIDARIEDADE) ,131080,1.3,1
