Rio de Janeiro,,,
46,,,
 Avante (AVANTE) ,130882,1.7,1
 Democracia Cristã (DC) ,134486,1.7,1
 Democratas (DEM) ,520033,6.7,4
 Movimento Democrático Brasileiro (MDB) ,449251,5.8,3
 Partido Comunista Brasileiro (PCB) ,4693,0.1,0
 Partido Comunista do Brasil (PC do B) ,89396,1.2,1
 Partido da Mobilização Nacional (PMN) ,16548,0.2,0
 Partido da Mulher Brasileira (PMB) ,75113,1,0
 Partido da República (PR) ,269089,3.5,2
 Partido da Social Democracia Brasileira (PSDB) ,135133,1.8,0
 Partido Democrático Trabalhista (PDT) ,236020,3.1,2
 Partido dos Trabalhadores (PT) ,275205,3.6,1
 Partido Humanista da Solidariedade (PHS) ,139147,1.8,1
 Partido Novo (NOVO) ,201281,2.6,1
 Partido Pátria Livre (PPL) ,14492,0.2,0
 Partido Popular Socialista (PPS) ,94281,1.2,1
 Partido Progressista (PP) ,264188,3.4,2
 Partido Renovador Trabalhista Brasileiro (PRTB) ,105490,1.4,0
 Partido Republicano Brasileiro (PRB) ,405665,5.3,2
 Partido Republicano da Ordem Social (PROS) ,72580,0.9,1
 Partido Republicano Progressista (PRP) ,170136,2.2,1
 Partido Social Cristão (PSC) ,205694,2.7,1
 Partido Social Democrático (PSD) ,524608,6.8,3
 Partido Social Liberal (PSL) ,1712541,22.2,12
 Partido Socialismo e Liberdade (PSOL) ,644641,8.3,4
 Partido Socialista Brasileiro (PSB) ,284069,3.7,1
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,1756,0,0
 Partido Trabalhista Brasileiro (PTB) ,74038,1,0
 Partido Trabalhista Cristão (PTC) ,56296,0.7,0
 Partido Verde (PV) ,21671,0.3,0
 Patriota (PATRI) ,73111,0.9,0
 Podemos (PODE) ,75268,1,0
 Rede Sustentabilidade (REDE) ,82437,1.1,0
 Solidariedade (SOLIDARIEDADE) ,161531,2.1,1
