Rondônia,,,
8,,,
 Democracia Cristã (DC) ,304,0,0
 Democratas (DEM) ,49208,6.3,0
 Movimento Democrático Brasileiro (MDB) ,78287,10,1
 Partido Comunista do Brasil (PC do B) ,843,0.1,0
 Partido da Mobilização Nacional (PMN) ,27721,3.5,0
 Partido da Mulher Brasileira (PMB) ,152,0,0
 Partido da República (PR) ,32272,4.1,0
 Partido da Social Democracia Brasileira (PSDB) ,41258,5.3,1
 Partido Democrático Trabalhista (PDT) ,47678,6.1,1
 Partido dos Trabalhadores (PT) ,18081,2.3,0
 Partido Humanista da Solidariedade (PHS) ,6019,0.8,0
 Partido Novo (NOVO) ,5473,0.7,0
 Partido Popular Socialista (PPS) ,2638,0.3,0
 Partido Progressista (PP) ,70215,9,1
 Partido Renovador Trabalhista Brasileiro (PRTB) ,357,0,0
 Partido Republicano Brasileiro (PRB) ,27435,3.5,0
 Partido Republicano da Ordem Social (PROS) ,22477,2.9,0
 Partido Republicano Progressista (PRP) ,1564,0.2,0
 Partido Social Cristão (PSC) ,20921,2.7,0
 Partido Social Democrático (PSD) ,45186,5.8,1
 Partido Social Liberal (PSL) ,92190,11.8,1
 Partido Socialismo e Liberdade (PSOL) ,1340,0.2,0
 Partido Socialista Brasileiro (PSB) ,32822,4.2,1
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,456,0.1,0
 Partido Trabalhista Brasileiro (PTB) ,23823,3,0
 Partido Trabalhista Cristão (PTC) ,2362,0.3,0
 Partido Verde (PV) ,13378,1.7,0
 Patriota (PATRI) ,8533,1.1,0
 Podemos (PODE) ,72573,9.3,1
 Rede Sustentabilidade (REDE) ,8464,1.1,0
 Solidariedade (SOLIDARIEDADE) ,29275,3.7,0
