Santa Catarina,,,
16,,,
 Avante (AVANTE) ,4935,0.1,0
 Democracia Cristã (DC) ,3607,0.1,0
 Democratas (DEM) ,29365,0.8,0
 Movimento Democrático Brasileiro (MDB) ,553953,15.6,3
 Partido Comunista Brasileiro (PCB) ,3020,0.1,0
 Partido Comunista do Brasil (PC do B) ,24019,0.7,0
 Partido da Mobilização Nacional (PMN) ,6623,0.2,0
 Partido da República (PR) ,69382,2,0
 Partido da Social Democracia Brasileira (PSDB) ,301400,8.5,1
 Partido Democrático Trabalhista (PDT) ,36577,1,0
 Partido dos Trabalhadores (PT) ,347166,9.8,1
 Partido Humanista da Solidariedade (PHS) ,1580,0,0
 Partido Novo (NOVO) ,187440,5.3,1
 Partido Pátria Livre (PPL) ,7447,0.2,0
 Partido Popular Socialista (PPS) ,93752,2.6,1
 Partido Progressista (PP) ,288537,8.1,1
 Partido Renovador Trabalhista Brasileiro (PRTB) ,1012,0,0
 Partido Republicano Brasileiro (PRB) ,188145,5.3,1
 Partido Republicano da Ordem Social (PROS) ,17372,0.5,0
 Partido Republicano Progressista (PRP) ,22762,0.6,0
 Partido Social Cristão (PSC) ,39161,1.1,0
 Partido Social Democrático (PSD) ,227422,6.4,2
 Partido Social Liberal (PSL) ,769926,21.7,4
 Partido Socialismo e Liberdade (PSOL) ,68051,1.9,0
 Partido Socialista Brasileiro (PSB) ,156127,4.4,1
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,2943,0.1,0
 Partido Trabalhista Brasileiro (PTB) ,11593,0.3,0
 Partido Trabalhista Cristão (PTC) ,7690,0.2,0
 Partido Verde (PV) ,4791,0.1,0
 Patriota (PATRI) ,18460,0.5,0
 Podemos (PODE) ,8577,0.2,0
 Rede Sustentabilidade (REDE) ,9956,0.3,0
 Solidariedade (SOLIDARIEDADE) ,35667,1,0
