São Paulo,,,
70,,,
 Avante (AVANTE) ,141467,0.7,0
 Democracia Cristã (DC) ,19307,0.1,0
 Democratas (DEM) ,1089549,5.2,5
 Movimento Democrático Brasileiro (MDB) ,527821,2.5,2
 Partido Comunista Brasileiro (PCB) ,7486,0,0
 Partido Comunista do Brasil (PC do B) ,89286,0.4,1
 Partido da Mobilização Nacional (PMN) ,35495,0.2,0
 Partido da Mulher Brasileira (PMB) ,18204,0.1,0
 Partido da República (PR) ,1734561,8.2,7
 Partido da Social Democracia Brasileira (PSDB) ,1729697,8.2,6
 Partido Democrático Trabalhista (PDT) ,451442,2.1,1
 Partido dos Trabalhadores (PT) ,2067527,9.8,8
 Partido Humanista da Solidariedade (PHS) ,47817,0.2,0
 Partido Novo (NOVO) ,899904,4.3,3
 Partido Pátria Livre (PPL) ,50027,0.2,0
 Partido Popular Socialista (PPS) ,370482,1.8,2
 Partido Progressista (PP) ,639122,3,4
 Partido Renovador Trabalhista Brasileiro (PRTB) ,77350,0.4,0
 Partido Republicano Brasileiro (PRB) ,1591587,7.5,6
 Partido Republicano da Ordem Social (PROS) ,200055,0.9,0
 Partido Republicano Progressista (PRP) ,131974,0.6,0
 Partido Social Cristão (PSC) ,112504,0.5,1
 Partido Social Democrático (PSD) ,679597,3.2,2
 Partido Social Liberal (PSL) ,4409549,20.9,10
 Partido Socialismo e Liberdade (PSOL) ,915206,4.3,3
 Partido Socialista Brasileiro (PSB) ,1062726,5,4
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,11682,0.1,0
 Partido Trabalhista Brasileiro (PTB) ,200514,1,0
 Partido Trabalhista Cristão (PTC) ,14189,0.1,0
 Partido Verde (PV) ,414051,2,1
 Patriota (PATRI) ,229241,1.1,0
 Podemos (PODE) ,688572,3.3,3
 Rede Sustentabilidade (REDE) ,188987,0.9,0
 Solidariedade (SOLIDARIEDADE) ,255231,1.2,1
